id,area,behavior,release_gate,legacy_evidence,qt_acceptance,status,notes
PLOT-003,Plot,Render base-10 logarithmic curves,Replacement,StripGraph.c and jlAxis.c,Positive invalid and boundary-value tests pass,Not started,
PLOT-004,Plot,Render none some and all grid modes,Replacement,StripConfig.h:StripGridVisibility,Mode-specific golden images pass,Not started,
PLOT-005,Plot,Apply configurable graph line width,Replacement,StripDialog.c:graph_linewidth_cb,Rendered stroke width changes,Not started,
PLOT-006,Plot,Incrementally refresh and auto-scroll,Preview,Strip.c:timer_callback,Fake-clock UI test passes,Not started,
PLOT-007,Plot,Pause and resume auto-scroll,Replacement,Strip.c:POPUPMENU_TOGGLE_SCROLL,Visible time range freezes and resumes correctly,Not started,
PLOT-008,Plot,Pan zoom reset replot and auto-scale,Replacement,Strip.c:callback,Interaction tests preserve expected ranges,Not started,Include coarse and fine controls
PLOT-009,Plot,Show pointer time and value location,Replacement,StripGraph.c:motion_event_handler,Pointer test updates readout,Not started,
PLOT-010,Plot,Select a fixed from-to time range,Replacement,Strip.c:from_to,Validated range changes visible interval,Not started,
ANN-001,Annotations,Create select edit move and delete annotations,Replacement,Annotation.c and Strip.c popup callbacks,UI workflow and persistence decisions are tested,Not started,Legacy configuration does not serialize annotations
UI-001,Controls,Connect a PV from the controls window,Preview,StripDialog.c:connect_cb,PV is added to the first available row,Not started,
UI-002,Controls,Modify and remove curve attributes,Preview,StripDialog.c,Model and graph update together,Not started,
UI-003,Controls,Edit time span sample count and intervals,Preview,StripDialog.c:time_modify_cb,Validation and cancellation tests pass,Not started,
UI-004,Controls,Edit graph and curve colors,Replacement,ColorDialog.c,Selection updates model and rendering,Not started,
UI-005,Controls,Edit grids colored Y axes and line width,Replacement,StripDialog.c,Controls round-trip through model and config,Not started,
UI-006,Windows,Show hide and raise graph and controls windows,Replacement,Strip.c and StripDialog.c,Window menu and dismiss workflows pass,Not started,
UI-007,Help,Show version and help actions,Replacement,StripDialog.c:helpmenu_cb,About reports version and help uses desktop URL handler,Not started,
OUT-001,Output,Dump visible data as text,Replacement,StripDataSource.c:StripDataSource_dump,Golden output fixture matches agreed format,Not started,
OUT-002,Output,Dump visible data as CSV,Replacement,StripDataSource.c:StripDataSource_dump_csv,Golden CSV fixture matches agreed format,Not started,
OUT-003,Output,Export graph snapshot,Replacement,Strip.c:POPUPMENU_SNAPSHOT,Image has expected dimensions and plotted content,Not started,Use Qt image export
OUT-004,Output,Print graph,Replacement,Strip.c:Strip_print,PDF or virtual-printer integration test passes,Not started,Use Qt PrintSupport
OUT-005,Output,Export SDDS,Site decision,StripDataSource.c and Makefile:USE_SDDS,Operational need and support decision recorded,Decision needed,Optional legacy compile path
HIST-001,History,Run without an archive provider,Preview,StripHistoryNULL.c,Live plotting works with history disabled,Not started,
HIST-002,History,Fetch and cancel asynchronous history requests,Replacement,StripHistory.h,Fake-provider lifecycle tests pass,Not started,
HIST-003,History,Support current APS archive service,Site decision,StripHistoryAR+ArR.c and related files,Backend selected and IOC/archive tests pass,Decision needed,
HIST-004,History,Retain CAR AAPI and LANL backends,Site decision,StripHistoryLANL*.cc and Makefile,Each retained backend has owner build and test environment,Decision needed,
STYLE-001,Appearance,Provide recognizable legacy layout and colors,Replacement,StripFallback.h and screenshot checklist,Human-reviewed comparison accepted,Not started,Behavior takes precedence over pixel identity
STYLE-002,Appearance,Allow standard Qt style override,Optional,QtALH precedent,-style or equivalent selects installed Qt style,Not started,
PORT-001,Platform,Build with Qt 5.15 and Qt 6 on Linux,Replacement,QtALH and QtEDM precedent,CI or recorded clean builds pass,Not started,
PORT-002,Platform,Build on macOS,Replacement,QtALH and QtEDM precedent,Recorded clean build and smoke test pass,Not started,
PORT-003,Platform,Build on Windows without Motif,Replacement,Legacy Windows resources and QtALH precedent,MSVC build and smoke test pass,Not started,
PERF-001,Performance,Maintain acceptable idle CPU use,Replacement,Legacy comparison run,Threshold is agreed and benchmark passes,Not started,
PERF-002,Performance,Handle ten curves at minimum supported sample interval,Replacement,StripDefines.h limits,Sustained benchmark meets agreed loss and CPU thresholds,Not started,
PERF-003,Performance,Remain memory-stable in long runs,Replacement,StripDataSource bounded design,Soak test stays within agreed bound,Not started,
PERF-004,Performance,Render large historical ranges responsively,Replacement,StripDataSource render path,Benchmark meets agreed latency threshold,Not started,
